,#,Artist,Listeners,Daily +/-,Peak,PkListeners
2329,2330,Chitãozinho & Xororó,5537450,483,1611,6439152
2330,2331,Kaique e Felipe,5537410,12297,1293,8484988
2331,2332,mikeeysmind,5537090,-52,1548,6992439
2332,2333,Borges,5536990,-12326,914,9916820
2333,2334,Annural Khalid,5533281,-269757,716,12995740
2334,2335,Dean Martin,5529687,605,35,61464079
2335,2336,Armand Van Helden,5526211,-14082,1963,5627744
2336,2337,Clarent,5523359,119879,1725,6567129
2337,2338,Marcos & Belutti,5521325,-1707,1555,7006426
2338,2339,Neelesh Misra,5520464,-19810,2122,5759417
2339,2340,Garry Sandhu,5520284,-24373,1379,7208016
2340,2341,Miggy Dela Rosa,5518970,-1438,581,11442944
2341,2342,Dabzee,5515490,-17880,1603,6697619
2342,2343,Victony,5512078,-32906,1453,7362836
2343,2344,Siddharth Mahadevan,5511537,25120,2344,5511537
2344,2345,UNPLG'd,5508052,-28489,2181,5790558
2345,2346,Astrid S,5507257,2271,1034,8152622
2346,2347,Rico Blanco,5505733,42260,2347,5505733
2347,2348,Mark Keali'i Ho'omalu,5505670,93154,2348,5505670
2348,2349,INTERWORLD,5504882,4369,711,10809092
2349,2350,IVE,5504025,-5244,608,11793543
2350,2351,Zack Tabudlo,5501166,-16811,993,8641464
2351,2352,PLK,5500591,11363,1706,6275439
2352,2353,Lithe,5499936,-3292,819,11183806
2353,2354,Racionais MC's,5499834,10418,2332,5499834
2354,2355,N.W.A.,5498624,-4016,1558,6177972
2355,2356,Tori Kelly,5496115,-20610,1212,8069333
2356,2357,KSHMR,5494588,-14125,1187,7488809
2357,2358,Unnikrishnan,5493929,5749,2313,5493929
2358,2359,Royal Philharmonic Orchestra,5489409,16475,1151,9164113
2359,2360,Vanessa Da Mata,5487730,-9038,2230,5553388
2360,2361,miguel cornejo,5487166,35145,2017,5891302
2361,2362,Luther Vandross,5486032,1797,1718,6410696
2362,2363,Blue Öyster Cult,5477824,-4988,1439,7265715
2363,2364,Pashanim,5477779,-25352,1925,5720093
2364,2365,Rusherking,5476865,-11145,426,15596238
2365,2366,TJ Monterde,5473898,-10504,1564,7118304
2366,2367,Sami Brielle,5473693,5207,1988,5977889
2367,2368,Maanu,5472326,-271900,713,13021766
2368,2369,Klaas,5469686,-9549,1592,6425498
2369,2370,Nacho,5462339,-39862,1460,6364764
2370,2371,Wajid,5457674,21152,2179,5457674
2371,2372,Chris Grey,5453340,-1140,2164,5674304
2372,2373,Wall Hein,5452128,3598,990,8785923
2373,2374,Trevor Daniel,5450628,3409,968,9590211
2374,2375,BossMan Dlow,5448690,-4794,1952,5945908
2375,2376,Mc Th,5445950,-13859,919,10677403
2376,2377,Kelis,5442625,-8193,1746,5805954
2377,2378,Nic D,5442584,-29643,1825,6218760
2378,2379,Abor & Tynna,5441517,20447,2379,5441517
2379,2380,Egzod,5440767,-24299,2290,5482214
2380,2381,TAYA,5434636,-5482,1928,6212189
2381,2382,Nina Chuba,5430515,16772,1538,5727559
2382,2383,Take That,5429882,9687,1585,6456209
2383,2384,Felipe Araújo,5428222,6370,1351,8081769
2384,2385,Stealers Wheel,5424516,-35811,1275,8007464
2385,2386,Lil Pump,5418533,-16886,1064,7549525
2386,2387,KT Tunstall,5417690,3060,1888,5737843
2387,2388,Los Fabulosos Cadillacs,5413139,-3480,1550,6717181
2388,2389,Kanika Kapoor,5410288,-6771,1953,5945857
2389,2390,Cuco,5409109,-18522,1346,6374023
2390,2391,Antonio Vivaldi,5406230,-15405,1549,7064842
2391,2392,Steve Angello,5398964,4838,2024,5619561
2392,2393,Drowning Pool,5398945,-11325,2102,5489996
2393,2394,ANOTR,5395960,-236,1577,6790565
2394,2395,Łaszewo,5395339,51125,2395,5395339
2395,2396,Kahitna,5388252,-36939,2138,5802075
2396,2397,Panda,5386383,46979,2397,5386383
2397,2398,ROA,5375980,-21139,2222,5602635
2398,2399,Natalie Cole,5375935,-3152,1675,6323779
2399,2400,DJ TS,5375166,-39545,2168,5827923
2400,2401,Bone Thugs-N-Harmony,5372035,-8347,1254,6586218
2401,2402,Masked Wolf,5371961,-5309,924,8528561
2402,2403,Amiel Sol,5370047,-9951,1755,6579498
2403,2404,Pixote,5365670,-16992,1619,7050851
2404,2405,Legião Urbana,5364163,-5412,2166,5731648
2405,2406,Enya,5362031,28219,2097,5701331
2406,2407,Oscar D'León,5360789,-16342,1871,6244201
2407,2408,Parker McCollum,5359970,-13763,1783,5503289
2408,2409,Young M.A,5357502,-7130,2189,5701701
2409,2410,Rio Romeo,5356910,8350,1270,7676248
2410,2411,Claude Debussy,5355635,-16497,1500,6362621
2411,2412,BONES,5351952,-27556,994,7968560
2412,2413,DJ DYLANFK,5349302,9569,2220,5625631
2413,2414,Aleyna Tilki,5344616,27931,2270,5344616
2414,2415,CRO,5338235,4373,1567,6167724
2415,2416,Barry White,5336878,3166,2101,5615190
2416,2417,twocolors,5336245,1948,1370,6983839
2417,2418,Mandy Moore,5333156,-7123,1803,5573629
2418,2419,Run–D.M.C.,5332268,-7792,778,12287052
2419,2420,Craig David,5329794,-9333,1691,5445936
2420,2421,DJ Dozabri,5327860,121487,2421,5327860
2421,2422,Belo,5327281,5543,1923,6147370
2422,2423,Sugar Ray,5325081,7520,2164,5325081
2423,2424,Anand Bakshi,5322366,-493,2424,5322859
2424,2425,Merve Özbey,5321583,43376,2425,5321583
2425,2426,Enjambre,5321210,-6004,2411,5354210
2426,2427,High School Musical Cast,5320812,-2350,1942,5324353
2427,2428,Glen Campbell,5319217,-22497,2082,5386975
2428,2429,Mufasa & Hypeman,5312845,-18738,1417,6778711
2429,2430,José Luis Perales,5308033,21856,2038,5873226
2430,2431,Sheenam Katholic,5307762,-287,2285,5484802
2431,2432,Harshit Saxena,5304953,17715,2432,5304953
2432,2433,Bonn,5304522,-10239,1544,7009704
2433,2434,Daniel Hope,5304146,-5499,1778,5851053
2434,2435,Slayter,5299565,-3238,2433,5302803
2435,2436,Vijay,5299211,-519,2082,5572008
2436,2437,Swara Verma,5298478,88157,2437,5298478
2437,2438,Sérgio Mendes,5293491,-3785,1937,5781366
2438,2439,Danger Mouse,5290889,130717,2439,5290889
2439,2440,Kenya Grace,5289694,-24411,107,32478392
2440,2441,t.A.T.u.,5289110,-10011,1884,5330975
2441,2442,CJ,5288798,9791,1576,6122202
2442,2443,Sai Abhyankkar,5286923,-20296,1698,6373735
2443,2444,Polaris,5286366,-13350,1613,6832833
2444,2445,Kamal Khan,5279830,-10706,2069,5814459
2445,2446,Abel Balder,5276797,-8762,2029,5572084
2446,2447,Ele A El Dominio,5275881,13245,2346,5275881
2447,2448,Bruno Martini,5274096,28107,1643,6004945
2448,2449,Angus & Julia Stone,5272102,9998,1698,6265122
2449,2450,Geisha,5272027,-12212,1150,8290047
2450,2451,NTG,5271753,2043,2451,5271753
2451,2452,LAGOS,5271243,41598,1513,7305087
2452,2453,Liana Flores,5270338,-3304,1579,7088216
2453,2454,emmanuellcortess_,5269937,-6633,1939,5798128
2454,2455,Yung Gravy,5268362,9334,992,7845433
2455,2456,Dustin Lynch,5268152,69,1287,7404537
2456,2457,Bryan Martin,5266857,14487,1429,7392550
2457,2458,Banda Tierra Sagrada,5263825,165831,2458,5263825
2458,2459,Mufasa,5262386,-20477,2162,5650542
2459,2460,Rich The Kid,5259652,-4385,130,32410422
2460,2461,KISS OF LIFE,5254430,-18444,1371,8065384
2461,2462,1da Banton,5253118,-7517,2406,5352158
2462,2463,Hande Yener,5251353,17903,1843,5935860
2463,2464,Kiiara,5249297,-24237,2421,5326836
2464,2465,Roar,5247849,3782,1002,7895115
2465,2466,Jaxomy,5245114,-17031,462,16960632
2466,2467,Maestro Chives,5240531,-25888,2379,5292614
2467,2468,Bad Omens,5240302,-5873,2301,5276309
2468,2469,Jake Owen,5239670,-6515,1291,7992859
2469,2470,Tion Wayne,5238833,-2523,902,8886575
2470,2471,nimino,5237121,-8326,2096,5668775
2471,2472,Kardinal Offishall,5236477,12919,2403,5236477
2472,2473,Ari Abdul,5232773,-8253,1635,6463505
2473,2474,Cordae,5228959,1649,689,11325024
2474,2475,Peipper,5228882,10170,2059,5854287
2475,2476,Dj Tchouzen,5228051,-16215,2387,5415609
2476,2477,Tom Jones,5227742,9957,1479,7112709
2477,2478,Akhil,5226347,-1956,1079,8166073
2478,2479,Ghea Indrawari,5226313,-16148,886,9641695
2479,2480,Sithara Krishnakumar,5225276,45941,2480,5225276
2480,2481,Florence Welch,5225111,6271,2337,5317572
2481,2482,Brenno & Matheus,5224922,-23882,973,10521958
2482,2483,Grupo Bryndis,5224802,-7919,2143,5550151
2483,2484,Noah,5222413,-43381,1770,5644333
2484,2485,Puyalo Pantera,5222319,-19085,1661,6806187
2485,2486,Cavetown,5221922,-5853,1114,7192919
2486,2487,Berlin,5221125,2954,1399,7621746
2487,2488,Glenn Fredly,5218155,5140,2488,5218155
2488,2489,DobleP,5218118,14617,1963,6030621
2489,2490,Dayglow,5217043,-5142,1335,6472359
2490,2491,Wicked Movie Cast,5216477,15817,658,13877384
2491,2492,JISOO,5213353,-34343,358,16659396
2492,2493,Gianluca Grignani,5213049,-10399,1506,7376705
2493,2494,XROSS,5211865,-66033,2427,5329415
2494,2495,Jamie Miller,5211189,-8467,1288,7017011
2495,2496,Alex Gargolas,5209678,4658,1956,5679830
2496,2497,Cedric Gervais,5207630,7731,1670,6555819
2497,2498,Chris Young,5206969,1114,1388,6557043
2498,2499,BENEE,5206762,-12577,1188,6861046
2499,2500,Au/Ra,5205052,-2283,1194,6859938
