,Video,Views,Yesterday,Publication year
0,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,6696783517,947326,2015
1,Maroon 5 - Sugar (Official Music Video),4245566989,454753,2015
2,Justin Bieber - Sorry (PURPOSE : The Movement),3972531153,373328,2015
3,Alan Walker - Faded,3825801714,419233,2015
4,Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video],3786433481,446915,2015
5,Adele - Hello (Official Music Video),3206981317,157347,2015
6,twenty one pilots: Stressed Out [OFFICIAL VIDEO],3080427016,409409,2015
7,Ellie Goulding - Love Me Like You Do (Official Video),2371555552,102568,2015
8,Fifth Harmony - Worth It (Official Video) ft. Kid Ink,2362619661,241254,2015
9,Justin Bieber - What Do You Mean?,2288999726,87055,2015
10,The Weeknd - The Hills,2217316129,250551,2015
11,Drake - Hotline Bling,2075020205,139778,2015
12,Silentó - Watch Me (Whip/Nae Nae) (Official),1977834368,82444,2015
13,Justin Bieber - Love Yourself (PURPOSE : The Movement),1780347385,87732,2015
14,HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),1727925936,361160,2015
15,"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",1693922927,97306,2015
16,Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony,1679967702,231989,2015
17,Calvin Harris & Disciples - How Deep Is Your Love,1667505843,127571,2015
18,Taylor Swift - Bad Blood ft. Kendrick Lamar,1658674705,105696,2015
19,Shawn Mendes - Stitches (Official Music Video),1651916825,252632,2015
20,Lukas Graham - 7 Years [Official Music Video],1639929914,438308,2015
21,Coldplay - Adventure Of A Lifetime (Official Video),1630942894,270042,2015
22,twenty one pilots - Ride (Official Video),1585392342,249137,2015
23,The Weeknd - Can't Feel My Face (Official Video),1473782695,159546,2015
24,21. El Perdón - Nicky Jam y Enrique Iglesias (Official Music Video YTMAs),1456450415,199782,2015
25,Ed Sheeran - Photograph (Official Music Video),1441632488,204026,2015
26,OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records],1398383757,164388,2015
27,Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),1373271761,102679,2015
28,Joey Montana - Picky,1371086522,57841,2015
29,Ricky Martin - La Mordidita (Official Video) ft. Yotuel,1349216454,80668,2015
30,"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)",1306576962,77627,2015
31,Maluma - Borro Cassette (Official Video),1284455680,191946,2015
32,Chino & Nacho - Me Voy Enamorando ft. Farruko (Remix) (Official Music Video),1278897252,234086,2015
33,Avicii - Waiting For Love,1272893377,208926,2015
34,Saad Lamjarred - LM3ALLEM (Exclusive Music Video) | (سعد لمجرد - لمعلم (فيديو كليب حصري,1182764035,161400,2015
35,"Cali Y El Dandee - Por Fin Te Encontré ft. Juan Magan, Sebastian Yatra (Video Oficiel)",1159854288,291801,2015
36,Willy William - Ego (Clip Officiel),1133887853,187472,2015
37,Post Malone - White Iverson,1129983984,116331,2015
38,One Direction - Drag Me Down (Official Video),1106367006,74534,2015
39,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",1105800990,384573,2015
40,Disturbed - The Sound Of Silence (Official Music Video) [4K UPGRADE],1100212265,267098,2015
41,Little Mix - Black Magic (Official Video),1097864308,137308,2015
42,R. City - Locked Away ft. Adam Levine,1081963378,81779,2015
43,"La Adictiva Banda San José de Mesillas - Después de Ti, ¿Quién?",1062959165,270598,2015
44,Ariana Grande - Focus (Official Video),1020465526,43301,2015
45,"'PREM RATAN DHAN PAYO' Title Song (Full VIDEO) | Salman Khan, Sonam Kapoor | Palak Muchhal T-Series",998451003,158705,2015
46,Raymix - Oye Mujer,972963080,136691,2015
47,Taylor Swift - Wildest Dreams,970705650,131230,2015
48,Kygo - Firestone ft. Conrad Sewell (Official Video),955298601,143363,2015
49,"'Chittiyaan Kalaiyaan' FULL VIDEO SONG | Roy | Meet Bros Anjjan, Kanika Kapoor | T-SERIES",925436983,351841,2015
50,Meghan Trainor - Like I'm Gonna Lose You (Official Video) ft. John Legend,912637742,131144,2015
51,Taylor Swift - Style,903069038,201888,2015
52,Omarion Ft. Chris Brown & Jhene Aiko - Post To Be (Official Music Video),900440256,80532,2015
